"code","iso","country","AZE.2010","AZE.2011","AZE.2012"
744,"SJM","Svalbard and Jan Mayen Islands",NA,NA,NA
748,"SWZ","Swaziland",NA,NA,NA
752,"SWE","Sweden",NA,NA,NA
756,"CHE","Switzerland",NA,NA,NA
760,"SYR","Syria",NA,NA,NA
999,"TWN","Taiwan",NA,NA,NA
762,"TJK","Tajikistan",NA,NA,NA
834,"TZA","Tanzania",35,35,35
764,"THA","Thailand",NA,NA,NA
626,"TLS","Timor-Leste",NA,NA,NA
768,"TGO","Togo",NA,NA,NA
772,"TKL","Tokelau",NA,NA,NA
776,"TON","Tonga",NA,NA,NA
780,"TTO","Trinidad and Tobago",100,100,100
788,"TUN","Tunisia",NA,NA,NA
792,"TUR","Turkey",25,25,25
795,"TKM","Turkmenistan",NA,NA,NA
796,"TCA","Turks and Caicos Islands",NA,NA,NA
798,"TUV","Tuvalu",NA,NA,NA
800,"UGA","Uganda",100,100,100
804,"UKR","Ukraine",NA,NA,NA
784,"ARE","United Arab Emirates",NA,NA,NA
826,"GBR","United Kingdom",0,0,0
840,"USA","United States of America",44,44,44
850,"VIR","United States Virgin Islands",100,100,100
858,"URY","Uruguay",NA,NA,NA
860,"UZB","Uzbekistan",NA,NA,NA
548,"VUT","Vanuatu",NA,NA,NA
862,"VEN","Venezuela",86,86,86
704,"VNM","Viet Nam",43,43,43
876,"WLF","Wallis and Futuna Islands",NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA
887,"YEM","Yemen",NA,NA,NA
894,"ZMB","Zambia",NA,NA,NA
716,"ZWE","Zimbabwe",100,100,100
