code,iso,country,FSOC.1950,FSOC.1951,FSOC.1952,FSOC.1953,FSOC.1954,FSOC.1955,FSOC.1956,FSOC.1957,FSOC.1958,FSOC.1959,FSOC.1960,FSOC.1961,FSOC.1962,FSOC.1963,FSOC.1964,FSOC.1965,FSOC.1966,FSOC.1967,FSOC.1968,FSOC.1969,FSOC.1970,FSOC.1971,FSOC.1972,FSOC.1973,FSOC.1974,FSOC.1975,FSOC.1976,FSOC.1977,FSOC.1978,FSOC.1979,FSOC.1980,FSOC.1981,FSOC.1982,FSOC.1983,FSOC.1984,FSOC.1985,FSOC.1986,FSOC.1987,FSOC.1988,FSOC.1989,FSOC.1990,FSOC.1991,FSOC.1992,FSOC.1993,FSOC.1994,FSOC.1995,FSOC.1996,FSOC.1997,FSOC.1998,FSOC.1999,FSOC.2000,FSOC.2001,FSOC.2002,FSOC.2003,FSOC.2004,FSOC.2005,FSOC.2006,FSOC.2007,FSOC.2008,FSOC.2009,FSOC.2010,FSOC.2011
533,ABW,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,AUS,Australia,0,0.002524354,0.00544729,0.007137829,0.010061964,0.018571559,0.0174434,0.0185339,0.019594927,0.019350351,0.022208526,0.020776772,0.021477621,0.022463321,0.028778916,0.035168989,0.036234169,0.037198371,0.036415815,0.038803821,0.039437973,0.050284901,0.043083632,0.048606199,0.043337096,0.062185151,0.057085751,0.057036511,0.078958123,0.087007522,0.080330451,0.082441733,0.086193718,0.086582271,0.086326448,0.088786288,0.086392842,0.072349805,0.084890879,0.091844581,0.085613462,0.080475281,0.111862347,0.110529003,0.112416388,0.105964504,0.112174153,0.114585796,0.124454652,0.134449803,0.125294081,0.127611595,0.150266303,0.135069846,0.136576929,0.149277653,0.139968584,0.151826678,0.152130338,0.15646663,0.151603812,0.151803028
40,AUT,Austria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,AZE,Azerbaijan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,BHS,Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040540541,0.040540541,0.04,0.082352941,0.1,0.095744681,0.086538462,0.077586207,0.086206897,0.06557377,0.080882353,0.090909091,0.071942446,0.057971014,0.160220994,0.157608696,0.147727273,0.155913978,0.142076503,0.136612022,0.129213483,0.133333333,0.138297872,0.133333333,0.142857143,0.136842105,0.141361257,0.146464646,0.155778894,0.15,0.172248804,0.150485437,0.180672269,0.173160173,0.167381974,0.16872428,0.1796875,0.168776371,0.178137652,0.182926829,0.172839506,0.178861789,0.184,0.184313725,0.182222222,0.187772926,0.181415929,0.17699115,0.173333333
48,BHR,Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,BGD,Bangladesh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,BRB,Barbados,0,0,0,0.05,0.095238095,0.095238095,0.086956522,0.086956522,0.083333333,0.083333333,0.083333333,0.090909091,0.076923077,0.074074074,0.1,0.147058824,0.129032258,0.133333333,0.137931034,0.133333333,0.171428571,0.181818182,0.176470588,0.176470588,0.171428571,0.15625,0.1,0.135135135,0.138888889,0.171428571,0.151515152,0.153846154,0.128205128,0.088235294,0.15,0.177777778,0.204081633,0.215686275,0.196078431,0.214285714,0.214285714,0.196428571,0.206896552,0.196428571,0.196428571,0.185185185,0.185185185,0.196078431,0.20754717,0.192307692,0.20754717,0.20754717,0.214285714,0.196078431,0.18,0.192307692,0.192307692,0.216666667,0.216666667,0.206896552,0.206896552,0.213114754
112,BLR,Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,BEL,Belgium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,BLZ,Belize,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,BEN,Benin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,BMU,Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0.153846154,0.16,0.148148148,0.142857143,0.142857143,0.153846154,0.148148148,0.148148148,0.148148148,0.137931034,0.111111111,0.15625,0.151515152,0.171428571,0.147058824,0.142857143,0.121212121,0.117647059,0.121212121,0.125,0.125,0.166666667,0.147058824,0.128205128,0.131578947,0.131578947,0.083333333,0.058823529,0.114285714,0.108108108,0.085714286,0.111111111,0.108108108,0.128205128,0.139534884,0.173913043,0.155555556,0.170212766,0.155555556,0.166666667,0.192307692,0.185185185,0.173076923,0.16,0.16,0.173076923
64,BTN,Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,BOL,Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,BIH,Bosnia and Herzegovina,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,BWA,Botswana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,BRA,Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021257385,0.019808018,0.040527721,0.047427751,0.066483313,0.062892403,0.071869444,0.087733571,0.092804327,0.107097871,0.101427191,0.11200441,0.109954031,0.127656815,0.112135734,0.117808491,0.120145806,0.14713106,0.135165059,0.139528064,0.133914612,0.127627329,0.138704218,0.125617637,0.139492528,0.153416029,0.14915587,0.146859613,0.149959982,0.137604854,0.1521406,0.170679716,0.155985873,0.154304216,0.155413688,0.151423922,0.136552073,0.143220258,0.138902301,0.117570274,0.134032137,0.135875726,0.124854975,0.145990934,0.153985317,0.150982185,0.141875663,0.155593035,0.159822538
92,VGB,British Virgin Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,BRN,Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024096386,0.02247191,0.033707865,0.021978022,0.02173913,0.043478261,0.052083333,0.067307692,0.057692308,0.066666667,0.066666667,0.054545455,0.091666667,0.088709677,0.088709677,0.09375,0.094488189,0.11023622,0.088709677,0.113636364,0.098484848,0.085271318,0.081481481,0.080291971,0.08,0.075342466,0.082191781,0.081081081,0.090909091,0.054216867,0.077348066,0.072625698,0.072625698,0.077348066,0.086956522,0.086486486,0.057803468,0.170506912,0.164319249,0.178571429,0.157894737,0.17699115
100,BGR,Bulgaria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
854,BFA,Burkina Faso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,BDI,Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,KHM,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,CMR,Cameroon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,CAN,Canada,0,0.008474576,0.024,0.024390244,0.038167939,0.044776119,0.045112782,0.064748201,0.06993007,0.076923077,0.090322581,0.070967742,0.065789474,0.079754601,0.084848485,0.10880829,0.1,0.117924528,0.130044843,0.123893805,0.11965812,0.122881356,0.120535714,0.14,0.128630705,0.137037037,0.15248227,0.166666667,0.16,0.140893471,0.14084507,0.146757679,0.156146179,0.164516129,0.166163142,0.157232704,0.147540984,0.147692308,0.146417445,0.149847095,0.15954416,0.163434903,0.154891304,0.173913043,0.168292683,0.170900693,0.171764706,0.167410714,0.163218391,0.162037037,0.156908665,0.164444444,0.169642857,0.159817352,0.160792952,0.159453303,0.164882227,0.161616162,0.164215686,0.163316583,0.16953317,0.171568627
132,CPV,Cape Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024390244,0,0.023809524,0,0.036363636,0.138461538,0.107142857,0.123287671,0.12244898,0.104166667,0.126984127,0.138461538,0.14893617,0.142857143,0.173913043,0.15625,0.171428571,0.177419355,0.191489362,0.183673469,0.178217822,0.169230769,0.15625,0.171875,0.171875,0.153846154,0.15625,0.151515152,0.151515152,0.151515152,0.157142857,0.107692308,0.133333333,0.146666667,0.142857143,0.142857143,0.12987013,0.1625,0.15,0.156626506,0.16091954,0.182795699,0.184782609,0.175824176,0.184782609,0.166666667,0.159090909
136,CYM,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,CAF,Central African Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,TCD,Chad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,CHL,Chile,0,0,0.011368963,0.010296419,0.009744825,0.009408797,0.009408797,0.017892138,0.054896634,0.078011078,0.082916212,0.08110236,0.074870484,0.064393736,0.056177864,0.068977547,0.053400741,0.072663079,0.066199844,0.071579806,0.099421657,0.099935003,0.097811399,0.107745202,0.121767931,0.120874586,0.119781743,0.113877785,0.119471723,0.125137921,0.12248387,0.121596915,0.118401761,0.095345704,0.109939285,0.122554639,0.125646886,0.10946181,0.109868955,0.113598598,0.124203777,0.128321806,0.135452301,0.108835817,0.124674248,0.124859944,0.141016228,0.148344489,0.143263513,0.13443798,0.14484037,0.148334342,0.157989564,0.147087998,0.141484817,0.157893812,0.16365078,0.168484543,0.159139756,0.164617248,0.162725881,0.157621731
156,CHN,China,0,0,0.006134969,0.006097561,0.006451613,0.011904762,0.01734104,0.017045455,0.026595745,0.016042781,0.020408163,0.024875622,0.024875622,0.023584906,0.036199095,0.044843049,0.043478261,0.042553191,0.041666667,0.048,0.05862069,0.057432432,0.0625,0.058252427,0.070336391,0.080118694,0.073529412,0.077562327,0.086253369,0.114503817,0.113636364,0.113801453,0.118932039,0.121140143,0.11682243,0.116666667,0.115473441,0.115740741,0.110091743,0.124463519,0.122105263,0.130612245,0.144508671,0.134357006,0.140767824,0.137037037,0.140255009,0.138111888,0.14527027,0.134228188,0.143086817,0.139837398,0.146687697,0.147013783,0.151879699,0.147590361,0.130503145,0.161042945,0.164634146,0.164634146,0.159937888,0.159689922
170,COL,Colombia,0,0,0,0,0,0,0.026315789,0,0,0,0.018518519,0,0,0.04,0.025,0.024691358,0.047058824,0.09,0.090909091,0.10619469,0.093023256,0.090225564,0.075757576,0.100671141,0.106666667,0.097222222,0.086092715,0.092592593,0.141242938,0.151685393,0.152173913,0.145945946,0.145251397,0.147540984,0.143646409,0.140096618,0.131979695,0.131707317,0.14084507,0.127358491,0.123287671,0.178294574,0.174242424,0.177777778,0.164794007,0.171532847,0.169117647,0.171328671,0.170818505,0.181208054,0.186440678,0.174216028,0.181528662,0.161290323,0.161073826,0.163461538,0.167664671,0.175226586,0.176119403,0.170731707,0.174174174,0.181008902
174,COM,Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058823529,0.058823529,0.095238095,0.090909091,0.090909091,0.090909091,0.086956522,0.142857143,0.142857143,0.148148148,0.125,0.125,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.115384615,0.12,0.115384615,0.083333333,0.115384615,0.107142857,0.103448276,0.1,0.1,0.103448276,0.076923077,0.1,0.142857143,0.142857143,0.142857143,0.121212121,0.121212121,0.096774194,0.138888889,0.181818182,0.181818182,0.2,0.2,0.2
178,COG,Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
184,COK,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047619048,0,0.045454545,0.045454545,0.03030303,0.060606061,0.028571429,0.027777778,0.051282051,0.071428571,0.047619048,0.1875,0.183333333,0.196969697,0.196969697,0.196969697,0.196969697,0.188405797,0.181818182,0.174603175,0.169230769,0.169230769,0.147540984,0.158730159,0.169230769,0.161764706,0.173913043,0.169014085,0.189189189,0.191780822,0.219512195,0.207317073,0.214285714,0.209302326,0.215909091,0.211764706,0.211764706,0.209302326,0.206896552,0.213483146,0.213483146,0.2,0.19047619,0.19047619,0.19047619,0.197674419
188,CRI,Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029411765,0.057142857,0.03030303,0.054054054,0.028571429,0.040816327,0.086206897,0.064516129,0.072463768,0.085714286,0.16,0.157894737,0.1625,0.157894737,0.157894737,0.155844156,0.151162791,0.154761905,0.159090909,0.126582278,0.139534884,0.139534884,0.14893617,0.14893617,0.137931034,0.153846154,0.146067416,0.142857143,0.141414141,0.115789474,0.129032258,0.141414141,0.134020619,0.144230769,0.137614679,0.136363636,0.131578947,0.137931034,0.148760331,0.165413534,0.153225806,0.149606299,0.153846154,0.142857143,0.14893617,0.142857143,0.145833333
384,CIV,Cote d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018181818,0,0,0.016393443,0.014925373,0,0.083333333,0.090909091,0.084337349,0.13592233,0.128440367,0.124031008,0.130769231,0.157232704,0.146666667,0.162011173,0.165680473,0.157232704,0.156028369,0.157894737,0.156862745,0.155844156,0.144827586,0.143884892,0.140939597,0.149068323,0.126506024,0.152542373,0.162162162,0.16751269,0.174358974,0.174757282,0.177884615,0.173267327,0.165,0.157894737,0.152380952,0.168103448,0.163551402,0.172566372,0.162995595,0.177966102,0.178137652,0.181034483,0.177489177,0.176724138,0.169642857,0.172566372
191,HRV,Croatia,0,0.016949153,0.016666667,0.030769231,0.015151515,0.028985507,0.04109589,0.065789474,0.04109589,0.04109589,0.05952381,0.070588235,0.077777778,0.066666667,0.063829787,0.080808081,0.063157895,0.076190476,0.058252427,0.081818182,0.07,0.06185567,0.07,0.078431373,0.067307692,0.075471698,0.066666667,0.067307692,0.075471698,0.076190476,0.058252427,0.114754098,0.088709677,0.096,0.09375,0.097744361,0.070866142,0.085714286,0.117647059,0.120805369,0.136645963,0.152439024,0.120253165,0.156976744,0.153846154,0.129411765,0.169312169,0.172774869,0.169312169,0.18957346,0.188679245,0.188940092,0.190082645,0.181818182,0.167420814,0.138392857,0.137254902,0.154411765,0.173611111,0.163194444,0.167808219,0.170568562
192,CUB,Cuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054545455,0.037037037,0.05,0.089552239,0.101449275,0.084507042,0.08045977,0.075268817,0.074468085,0.058823529,0.071428571,0.060869565,0.052631579,0.043859649,0.116788321,0.121428571,0.112781955,0.129251701,0.134228188,0.117241379,0.113475177,0.111111111,0.104895105,0.106382979,0.104895105,0.111111111,0.104895105,0.128205128,0.141935484,0.145454545,0.193548387,0.139240506,0.179775281,0.185393258,0.170212766,0.173469388,0.182741117,0.162921348,0.16751269,0.180904523,0.179104478,0.184466019,0.189320388,0.180487805,0.179640719,0.178571429,0.177514793,0.171597633,0.167664671
