"code","iso","country","CO2KWH.1990","CO2KWH.1991","CO2KWH.1992","CO2KWH.1993","CO2KWH.1994","CO2KWH.1995","CO2KWH.1996","CO2KWH.1997","CO2KWH.1998","CO2KWH.1999","CO2KWH.2000","CO2KWH.2001","CO2KWH.2002","CO2KWH.2003","CO2KWH.2004","CO2KWH.2005","CO2KWH.2006","CO2KWH.2007","CO2KWH.2008","CO2KWH.2009","CO2KWH.2010"
533,"ABW","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"AUS","Australia",781.629227988639,784.504710975299,792.182492301892,778.301886792453,772.387390081953,780.97332330305,793.434115523466,791.621029572837,829.19700543534,833.570691941266,820.642332983894,828.547221974494,899.815287184449,882.248939179632,867.408692708113,841.830924222514,841.118279569892,830.479170097151,827.3748302958,832.044198895028,820.229371092618
40,"AUT","Austria",182.692307692308,187.846231324492,140.89521871821,131.446233935253,135.423400129282,143.765133171913,158.58181278742,157.201405152225,142.629827860553,132.778384279476,129.697963646303,147.38255033557,139.908256880734,174.845360824742,160.28862260018,155.457009115546,146.041798606713,128.9592760181,122.147489791016,106.867554309741,118.365534088386
31,"AZE","Azerbaijan",1146.98275862069,907.534246575343,1073.71631926792,886.792452830189,496.983169260083,520.422535211268,538.102643856921,549.608892548374,560.154738878143,636.593591905565,671.507902605724,569.558101472995,496.489859594384,532.182668104998,551.209103840683,532.387190684134,559.243279123797,442.516268980477,403.940886699507,396.818572656922,352.258064516129
44,"BHS","Bahamas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,"BHR","Bahrain",1060.34482758621,1075.30120481928,1053.84615384615,889.411764705882,723.076923076923,618.22125813449,623.505976095618,559.52380952381,641.247833622184,672.818791946309,707.936507936508,688.790560471976,682.692307692308,752.895752895753,881.656804733728,856.820744081173,824.435318275154,836.846929422548,651.299245599329,665.008291873963,640.21164021164
50,"BGD","Bangladesh",554.980595084088,536.880290205562,565.804274465692,606.948968512486,602.249488752556,601.295097132285,567.567567567567,583.473861720067,588.509316770186,592.387543252595,555.485098287888,602.070155261645,603.429796355841,573.820395738204,478.525121555916,475.66955865711,468.875502008032,446.148929370406,423.627002288329,425.779186476492,418.890200708383
52,"BRB","Barbados",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"BLR","Belarus",262.171573282684,253.110934604183,255.852510113403,242.784885450759,248.699009568575,235.084427767355,225.430367064396,224.391525126948,217.544493630861,216.08040201005,226.759339704605,218.368298368298,226.331221034711,224.946396942295,239.496176338282,237.346039737481,239.755188930282,235.920425889605,248.319641523525,243.508703685695,236.405776430736
56,"BEL","Belgium",300.821917808219,300.391521533684,285.560344827586,299.299161742476,314.644690624156,309.870232009438,295.823221356495,274.235164025064,275.730180806676,243.408396514654,262.638717632552,252.024885549947,254.782907549547,262.309658775147,270.305965221219,258.159268929504,242.837362871445,233.166039314095,210.554833116602,207.843534657479,207.068288478115
84,"BLZ","Belize",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204,"BEN","Benin",1500,1500,1000,1000,600,1000,600,666.666666666667,375,428.571428571429,375,714.285714285714,833.333333333333,625,625,545.454545454545,600,590.909090909091,608.695652173913,615.384615384615,600
60,"BMU","Bermuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"BTN","Bhutan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"BOL","Bolivia",277.056277056277,276.315789473684,344.398340248963,286.792452830189,365.248226950355,400.662251655629,361.111111111111,406.340057636888,439.353099730458,293.814432989691,314.432989690722,253.768844221106,258.373205741627,318.706697459584,296.46017699115,328.571428571429,326.415094339623,335.078534031414,374.570446735395,393.790849673203,422.96511627907
70,"BIH","Bosnia and Herzegovina",633.821571238349,539.60396039604,987.748851454824,1678.67867867868,141.509433962264,161.363636363636,245.679012345679,612.798264642082,802.919708029197,708.411214953271,802.228412256267,767.272727272727,823.318385650224,848.122866894198,744.874715261959,768.994627782041,821.220930232558,964.955175224124,760.467980295567,729.227193492156,653.006918573709
72,"BWA","Botswana",1406.59340659341,1244.68085106383,1223.21428571429,1223.21428571429,1275.22935779816,1403.84615384615,1434.21052631579,1519.48051948052,973.451327433628,1300.88495575221,1547.36842105263,1118.81188118812,1322.22222222222,1736.11111111111,1645.56962025316,1586.20689655172,1459.77011494253,1575.34246575342,1793.65079365079,1945.45454545455,2500
76,"BRA","Brazil",28.6778565658379,31.1886679750832,32.7224589417946,27.5021827129137,29.0724503922473,33.2728592162554,34.9835210107113,38.6713422949542,38.3838383838384,56.919775897008,54.0355090488035,64.6698227725176,48.4089663329775,43.2414680204713,51.0175203889989,50.4259785158662,47.9775787948602,42.3804226918799,55.7566356428818,35.0693255734338,50.4317187439501
92,"VGB","British Virgin Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,"BRN","Brunei Darussalam",923.076923076923,913.385826771654,914.893617021277,929.032258064516,981.927710843374,878.172588832487,853.77358490566,854.771784232365,868,831.275720164609,795.275590551181,798.449612403101,818.518518518518,714.733542319749,723.926380368098,705.521472392638,742.424242424242,647.058823529412,698.830409356725,703.601108033241,634.715025906736
100,"BGR","Bulgaria",362.424121803164,302.067464635473,350.945857795173,359.609807540206,336.19749045281,315.369008369262,305.120039196472,440.059691593434,442.503890714162,410.640689396778,402.265253927658,441.446116588825,409.001607429898,434.031413612565,448.306916426513,426.17621899059,421.370967741935,494.166811770851,484.369912080755,465.132024373731,467.2
854,"BFA","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,"BDI","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,"KHM","Cambodia",NA,NA,NA,NA,NA,800,800,812.5,815.789473684211,850,822.222222222222,823.529411764706,794.520547945206,789.473684210526,814.814814814815,791.666666666667,796.610169491525,805.369127516779,817.567567567568,817.460317460317,808.080808080808
120,"CMR","Cameroon",11.1111111111111,11.070110701107,10.9489051094891,10.6007067137809,11.0294117647059,10.752688172043,10.3448275862069,9.58466453674122,15.7728706624606,11.8343195266272,8.62068965517241,16.9491525423729,27.2727272727273,29.8913043478261,26.7639902676399,40,33.2681017612524,49.618320610687,31.6901408450704,41.522491349481,42.3728813559322
124,"CAN","Canada",196.987632148251,189.153158026934,198.402913450048,176.852644508133,173.038300897538,176.336146272855,170.961194440622,190.000860511144,213.493984355817,203.366797465559,213.047645348365,222.103755039483,207.699852869053,219.406685190423,204.714619902174,192.632916555543,192.431600711641,188.658013996362,179.201328556271,163.332266325224,171.258012428439
132,"CPV","Cape Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,"CYM","Cayman Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
140,"CAF","Central African Republic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
148,"TCD","Chad",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
152,"CHL","Chile",299.945563418617,129.258517034068,29.0697674418605,57.5,99.2879746835443,214.76988940421,327.041978522616,369.66966966967,402.421852999155,437.092992966918,330.838323353293,258.640959322831,266.773528738264,284.005979073244,312.829525483304,292.49237804878,291.937816341287,399.077080840882,399.832495812395,362.154150197628,399.801423134205
156,"CHN","China",775.58822419799,779.412610581292,774.812283154679,777.098959043593,752.152754799816,784.731690130057,795.532842541634,788.444298452716,800.960810766345,776.367254086421,743.65696839692,718.245521601686,728.950931594103,757.041886888325,783.724908258893,767.282840266881,768.911800332404,744.447504130576,732.322337092432,731.363635339168,694.331468478202
170,"COL","Colombia",160.06600660066,170.316301703163,208.56102003643,187.5,149.23931417532,164.794007490637,112.315498154982,172.869955156951,179.287305122494,102.522185894442,146.301878043125,147.790055248619,137.65541740675,138.59045981951,101.769911504425,115.017878426698,111.937523242841,108.9592760181,88.4718498659517,159.643294282217,170.452544462053
174,"COM","Comoros",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
178,"COG","Congo",0,0,23.2558139534884,0,0,0,0,0,0,181.818181818182,0,0,0,75,100,93.0232558139535,111.111111111111,97.5609756097561,108.695652173913,240.740740740741,142.857142857143
184,"COK","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
188,"CRI","Costa Rica",11.5273775216138,41.4507772020725,112.016293279022,81.4663951120163,158.859470468432,156.05749486653,87.5,33.8680926916221,66.543438077634,21.0355987055016,8.67052023121387,20.7407407407407,14.6082337317397,20.1342281879195,7.30816077953715,27.8450363196126,55.1724137931035,71.8232044198895,63.3579725448786,39.7422126745435,55.3235908141962
384,"CIV","Cote d'Ivoire",202.020202020202,241.758241758242,243.243243243243,283.10502283105,317.796610169492,271.186440677966,337.423312883436,419.354838709677,514.925373134328,412.863070539419,379.166666666667,393.44262295082,410.207939508507,383.104125736739,355.716878402904,457.746478873239,385.159010600707,408.525754884547,448.275862068966,387.478849407783,445.742904841402
191,"HRV","Croatia",340.498710232158,228.523769808173,299.679487179487,298.054474708171,216.006884681584,237.829209896249,226.480836236934,270.007479431563,297.353760445682,283.449587824984,276.487663280116,290.570878768441,332.689832689833,355.953115360888,280,293.897882938979,301.923076923077,364.882506527415,326.254826254826,272.15587680704,226.674298797939
192,"CUB","Cuba",703.728362183755,704.905660377358,697.573656845754,752.727272727273,789.473684210526,793.739967897271,777.945619335347,681.272084805654,674.911660777385,641.821946169772,642.049234863606,538.562091503268,753.503184713376,776.723592662872,777.351247600768,786.831812255541,704.310868245295,666.288308740068,660.067873303167,1009.58826847152,964.942528735632
196,"CYP","Cyprus",837.56345177665,826.923076923077,827.16049382716,826.254826254826,828.996282527881,820,831.417624521073,842.490842490843,842.809364548495,856.687898089172,836.795252225519,777.464788732394,754.617414248021,832.098765432099,769.047619047619,783.10502283105,754.838709677419,749.486652977413,750,736.137667304015,691.449814126394
203,"CZE","Czech Republic",501.139384732245,495.944269491364,481.779053084649,498.050033292115,516.907276426703,530.835998172682,512.574850299401,513.296011196641,517.6448908136,503.625954198473,518.641333572325,509.464949433832,488.231221876082,462.296936878687,462.71186440678,463.228588010944,461.250312161825,491.825833603108,466.733786391476,451.805663808782,461.981566820276
180,"COD","Dem. Rep. Congo",5.30973451327434,3.78787878787879,3.29489291598023,3.6101083032491,3.76647834274953,3.23624595469256,3.27332242225859,3.96825396825397,4.22832980972516,3.7593984962406,0,1.67224080267559,1.63398692810458,1.62074554294976,1.41043723554302,1.35135135135135,1.3262599469496,1.27226463104326,1.32802124833997,1.27713920817369,1.26903553299492
208,"DNK","Denmark",462.342691190707,495.129375951294,458.402940193786,446.772454167309,457.146825948048,418.028088277443,456.562742704982,408.888888888889,374.066797642436,346.406121891227,321.330441070137,319.945541184479,315.916398713826,342.517295788324,291.67211400183,266.787154177673,330.700888450148,300.433252098565,280.772436787997,279.421885753613,252.050708426547
262,"DJI","Djibouti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,"DMA","Dominica",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,"DOM","Dominican Republic",481.081081081081,571.794871794872,431.899641577061,442.990654205607,470.796460176991,490.875912408759,404.833836858006,417.127071823204,459.037711313394,455.019556714472,395.784543325527,359.84481086324,437.250199840128,552.373775433308,538.135593220339,436.608557844691,506.531204644412,485.773768216516,448.25313117996,421.228304405874,463.859208045255
218,"ECU","Ecuador",187.40157480315,230.989956958393,277.777777777778,194.331983805668,171.990171990172,314.35349940688,226.980728051392,295.366795366795,287.419651056015,235.693501454898,214.891611687088,272.398190045249,256.518082422204,244.155844155844,230.59866962306,300.715990453461,289.544235924933,230.724299065421,164.124145186744,213.651498335183,285.472018089316
818,"EGY","Egypt",521.29673450071,529.79683972912,529.553415061296,503.138075313808,466.531440162272,443.269230769231,432.716721073631,442.238576073935,467.524217881531,454.598540145985,343.358075249552,379.923150816523,391.972194192174,397.457449043917,488.548864758144,474.008648449719,473.442509314617,450.411571965156,459.783272283272,465.539568345324,449.894406975952
222,"SLV","El Salvador",67.5675675675676,265.217391304348,256.302521008403,287.769784172662,365.079365079365,389.728096676737,254.437869822485,373.259052924791,368.700265251989,279.891304347826,325.443786982249,297.709923664122,303.614457831325,288.939051918736,268.888888888889,260.869565217391,243.816254416961,261.617900172117,215.946843853821,221.070811744387,180.602006688963
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,"ERI","Eritrea",NA,NA,466.666666666667,466.666666666667,500,647.058823529412,578.947368421053,571.428571428571,600,666.666666666667,666.666666666667,739.130434782609,615.384615384615,642.857142857143,678.571428571429,655.172413793103,666.666666666667,620.689655172414,620.689655172414,655.172413793103,612.903225806452
233,"EST","Estonia",549.64308890331,538.886332259549,611.760883690708,587.281263337601,573.048408198866,659.2082616179,655.978260869565,643.31550802139,696.951583980873,682.733374008542,671.660424469413,665.833853841349,644.361833952912,704.192992533027,689.713322091062,695.011337868481,640.162507254788,737.899073120494,737.051792828685,690.095846645367,727.318045862413
231,"ETH","Ethiopia",75,115.702479338843,16.1290322580645,14.4927536231884,20.6896551724138,19.6078431372549,18.75,24.8447204968944,24.2424242424242,12.1951219512195,11.9760479041916,9.95024875621891,9.80392156862745,4.34782608695652,7.8740157480315,3.50877192982456,3.05810397553517,45.0704225352113,119.047619047619,122.80701754386,6.02409638554217
234,"FRO","Faeroe Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,"FLK","Falkland Islands",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,"FJI","Fiji",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,"FIN","Finland",199.745222929936,207.449994011259,179.493336534998,201.34687821025,235.484917288356,220.686629373697,250.721292556261,230.018362810476,177.206529176034,179.151841523223,167.8165038975,202.03463931394,213.518280949326,249.120492524186,221.057230231542,158.739397971063,221.040189125295,208.818448133403,164.829234446072,181.708299758259,200.316023845436
250,"FRA","France",58.2836597596745,73.0029052622381,58.068944805543,34.6371298261838,32.5734254097679,42.4146179669126,47.1919254538058,41.9146336657076,62.0974176348104,64.267449569088,57.5407892901966,46.6583237502537,52.2631281386145,55.5080284285338,52.4520948359857,60.0883985030326,50.0975927130774,51.9503982918617,57.8257894222309,68.1862389701332,70.9966552979751
254,"GUF","French Guiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,"PYF","French Polynesia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,"GAB","Gabon",214.285714285714,224.489795918367,222.222222222222,240,149.532710280374,157.894736842105,181.818181818182,190.47619047619,231.34328358209,203.007518796992,206.106870229008,159.420289855072,170.068027210884,198.675496688742,215.686274509804,269.230769230769,248.484848484848,316.091954022988,260.869565217391,268.817204301075,286.486486486486
270,"GMB","Gambia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,"GEO","Georgia",517.083587553386,481.318681318681,416.388756550738,366.163141993958,303.93487109905,598.425196850394,219.749652294854,199.720670391061,198.174706649283,184.895833333333,225.067385444744,136.887608069164,74.3494423791822,79.0123456790124,104.534005037783,110.552763819095,149.93481095176,164.196123147092,87.5831485587583,129.139072847682,76.9230769230769
276,"DEU","Germany",460.041654269563,460.242618448157,450.652345503227,447.047163578013,450.827546022897,434.36025534277,450.139417743531,440.565749235474,439.093913940019,427.459801209763,438.120199372794,452.344052692755,458.292897773929,383.117857410788,374.267779846835,351.683814423169,352.918447397693,416.72040958686,390.108308915864,397.331543173618,383.227509079982
288,"GHA","Ghana",0,0,0,3.16957210776545,3.27332242225859,3.26797385620915,0,4.35413642960813,231.536926147705,179.054054054054,65.0969529085873,108.142493638677,255.494505494505,277.683134582623,83.8926174496644,147.275405007364,275.207591933571,359.598853868195,215.144230769231,186.800894854586,259.259259259259
292,"GIB","Gibraltar",750,777.777777777778,700,800,727.272727272727,727.272727272727,727.272727272727,727.272727272727,750,750,692.307692307692,692.307692307692,769.230769230769,769.230769230769,714.285714285714,785.714285714286,733.333333333333,750,764.705882352941,764.705882352941,722.222222222222
300,"GRC","Greece",976.128846706931,925.853385562395,950.30889067956,930.781331934976,909.113422486379,931.476997578693,828.578165526998,805.644791188619,784.80740262535,766.197183098591,805.023255813953,821.161048689139,803.75898286346,768.480492813142,767.194875252866,768.166666666667,721.847772480684,740.148757714828,728.949858088931,705.319493999351,694.698670350544
304,"GRL","Greenland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,"GRD","Grenada",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,"GLP","Guadeloupe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,"GUM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,"GTM","Guatemala",73.0593607305936,91.703056768559,280.276816608997,156.25,170.967741935484,152.974504249292,130.563798219585,135.446685878963,171.62471395881,341.796875,391.735537190083,419.795221843003,484.652665589661,402.266288951841,300.268096514745,269.820971867008,327.205882352941,350.456621004566,323.394495412844,334.070796460177,278.595696489241
324,"GIN","Guinea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
624,"GNB","Guinea-Bissau",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,"GUY","Guyana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,"HTI","Haiti",366.666666666667,404.255319148936,238.095238095238,222.222222222222,107.142857142857,320,400,566.666666666667,378.787878787879,285.714285714286,345.454545454545,338.983050847458,400,314.814814814815,290.909090909091,303.571428571429,298.245614035088,510.63829787234,469.387755102041,541.666666666667,542.372881355932
336,"VAT","Holy See",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,"HND","Honduras",8.62068965517241,4.25531914893617,38.4615384615385,62.5,136.752136752137,326.007326007326,234.527687296417,273.885350318471,380.116959064327,241.279069767442,282.191780821918,332.474226804124,286.063569682152,352.422907488987,450.819672131148,410.394265232975,265.886287625418,419.968304278922,409.785932721713,346.564885496183,331.352154531946
344,"HKG","Hong Kong",827.919834139599,836.215026721157,820.681753079347,862.030598052851,864.248317127898,855.300859598854,823.136427566807,723.316062176166,739.656269891789,715.932203389831,711.777848707309,720.012334258403,725.153016613232,794.987327513377,749.259359008888,755.526657997399,753.754531330917,774.839537869063,757.567780994999,762.97443841983,723.237597911227
348,"HUN","Hungary",366.700715015322,368.441583772186,386.480094599921,388.007054673721,383.373205741627,385.700293829579,378.074356530029,401.654411764706,416.725228390724,401.827271160145,392.463235294118,386.706948640483,381.300356005246,417.372881355932,386.64839467502,335.267690003744,339.569160997732,341.935483870968,326.681049982021,298.796131833432,303.071017274472
352,"ISL","Iceland",0,0,0,1.45772594752187,1.45560407569141,1.3869625520111,1.38504155124654,1.27551020408163,2.44200244200244,4.15368639667705,1.00908173562059,0.978473581213307,0.881057268722467,0.892857142857143,0.877963125548727,0.887311446317658,0.783085356303837,1.3745704467354,0.512820512820513,0,0
356,"IND","India",756.046158098397,772.771916484491,796.128760782664,822.383745404541,792.600664176007,841.746084957617,877.661766726199,848.972757132737,827.842955748295,826.894765285776,846.271714922049,850.153485324044,839.525188769275,827.723802914643,841.266031650791,841.818832796276,833.136408894789,837.64789718765,840.883439664492,815.98332634922,806.619301608467
360,"IDN","Indonesia",678.910315273952,660.685591858597,603.709949409781,690.969162995595,612.928348909657,582.699780368305,591.11045481394,648.934744740721,599.179907739621,591.131284916201,581.913639772849,560.79012345679,553.132507854371,553.769546606098,552.430093209055,552.406375127581,570.956351889415,588.090551181102,569.19164882227,548.852040816327,539.077684198127
364,"IRN","Iran",553.637901861252,546.546078278497,512.66744321491,540.944881889764,549.340498290181,564.721110849612,560.471002531088,556.510176945893,528.126812294607,551.776198934281,540.331218587789,549.700414810263,533.924140375753,496.230829217572,511.382698298586,514.515132798024,523.873780361221,521.103975685083,558.103761711649,550.345575281203,539.019574175824
368,"IRQ","Iraq",568.75,571.840461316675,1056.91699604743,1639.16349809886,1859.28571428571,1677.87491593813,1637.48335552597,2186.22280817403,1098.86914378029,483.523447401774,641.379310344828,614.263565891473,729.769639692853,1000.35285815102,578.947368421053,573.026315789474,386.75340035482,423.285198555957,672.095548317047,931.593948695462,1002.79051225832
372,"IRL","Ireland",730.147575544624,734.092431346283,739.543726235741,723.219814241486,719.548425430778,717.045454545455,698.202959830867,694.768918232605,689.176245210728,683.509416628388,629.066328686101,655.298416565164,621.578099838969,587.288817377313,563.04520222046,572.376121732345,518.06784660767,487.612208258528,450.016716817118,428.264758497317,434.048540274358
833,"IMN","Isle of Man",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,"ISR","Israel",805.263157894737,795.443979544398,785.998408910103,800.53804765565,799.0851513019,797.896812356227,798.647402397787,790.02849002849,734.123847167325,735.084140744518,756.446319737459,743.344709897611,790.10989010989,783.801020408163,797.377326565144,766.666666666667,766.811708860759,765.569808514594,693.630461484471,675.331757862207,666.552842752262
380,"ITA","Italy",501.946985690828,467.246509498741,458.436250954327,440.364050056883,433.242983299816,456.226828446242,432.03842940685,406.741846503326,395.568871718048,372.020365656098,497.684756436377,481.518261061459,503.044715886571,481.312002235574,403.283205142923,392.701229777156,414.634146341463,387.287671232877,371.999023411008,336.277173913043,326.831736038897
388,"JAM","Jamaica",756.09756097561,886.792452830189,482.5,538.258575197889,447.698744769874,331.046312178388,276.490066225166,264,296.296296296296,296.520423600605,296.520423600605,298.798798798799,401.154401154401,400,389.196675900277,342.318059299191,218.206157965194,218.508997429306,287.853577371048,317.689530685921,412.887828162291
392,"JPN","Japan",367.539117046797,357.691109084823,362.883741168657,340.066690862898,358.676578502377,338.239104524019,333.272487577325,319.752010458345,307.474234415143,322.910321489002,325.318098702972,323.987268518519,344.562015099988,363.892131906831,347.792128092834,356.147402769043,348.270447387291,385.553230747499,373.88315516174,350.204781407753,353.120134576496
400,"JOR","Jordan",730.769230769231,782.258064516129,821.266968325792,796.218487394958,755.905511811024,763.345195729537,737.623762376238,747.603833865815,751.111111111111,692.090395480226,653.116531165312,652.980132450331,685.116851168512,625.782227784731,633.221850613155,613.471502590674,588.129496402878,561.538461538462,567.919075144509,564.821303433777,549.391069012179
398,"KAZ","Kazakhstan",460.452581597296,457.777014553729,452.451969471006,435.338484179544,545.454545454545,448.20607175713,448.278190411884,432.44320446393,438.789979517883,438.253260690111,497.350433914446,439.163082306627,476.832182687201,473.767982858892,455.218575998104,448.549267451882,569.920531372316,489.445554175889,442.938921275143,397.554986120009,385.299866268902
404,"KEN","Kenya",30.9597523219814,34.9854227405248,43.731778425656,44.1988950276243,43.7158469945355,73.3496332518337,91.1214953271028,102.449888641425,209.95670995671,302.483069977427,453.46062052506,286.624203821656,190.082644628099,140.926640926641,217.625899280576,247.078464106845,258.114374034003,247.747747747748,322.008862629247,395.924308588064,274.666666666667
296,"KIR","Kiribati",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
