"code","iso","country","ACCESS.1990","ACCESS.2000","ACCESS.2010"
999,"TWN","Taiwan",100,100,100
762,"TJK","Tajikistan",95,99,100
834,"TZA","Tanzania",7,9,15
764,"THA","Thailand",93,96,100
626,"TLS","Timor-Leste",32,34,38
768,"TGO","Togo",10,17,28
772,"TKL","Tokelau",NA,NA,NA
776,"TON","Tonga",80,86,92
780,"TTO","Trinidad and Tobago",93,95,99
788,"TUN","Tunisia",93,95,100
792,"TUR","Turkey",100,100,100
795,"TKM","Turkmenistan",95,100,100
796,"TCA","Turks and Caicos Islands",81,85,88
798,"TUV","Tuvalu",35,37,41
800,"UGA","Uganda",7,9,15
804,"UKR","Ukraine",93,96,100
784,"ARE","United Arab Emirates",87,91,94
826,"GBR","United Kingdom",100,100,100
840,"USA","United States of America",100,100,100
850,"VIR","United States Virgin Islands",81,85,88
858,"URY","Uruguay",92,96,99
860,"UZB","Uzbekistan",97,100,100
548,"VUT","Vanuatu",18,19,24
862,"VEN","Venezuela",99,100,100
704,"VNM","Viet Nam",88,89,96
876,"WLF","Wallis and Futuna Islands",NA,NA,NA
732,"ESH","Western Sahara",NA,NA,NA
887,"YEM","Yemen",38,41,45
894,"ZMB","Zambia",13,17,19
716,"ZWE","Zimbabwe",28,34,37
